assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
39,25,51,0.45271000000000006,2,67,27,Eichel,1,6,8478403,26,66,0.9850700000000001,C,2,14,20222023,0,1,0.12107000000000001,R,223,Jack Eichel,VGK,1126.0149
11,11,17,0.48548,2,34,14,Eichel,0,10,8478403,3,25,0.7352900000000001,C,3,8,20212022,0,0,0.10526,R,133,Jack Eichel,VGK,1163.5
16,1,9,0.49744000000000005,1,21,2,Eichel,0,6,8478403,-9,18,0.8571400000000001,C,1,9,20202021,0,0,0.032780000000000004,R,61,Jack Eichel,BUF,1229.8571
65,14,47,,6,82,20,Hedman,1,36,8475167,26,85,1.03658,D,6,38,20212022,0,0,0.09132000000000001,L,219,Victor Hedman,TBL,1504.5365
44,7,33,,3,66,11,Hedman,0,31,8475167,27,55,0.83333,D,4,22,20192020,0,0,0.07096000000000001,L,155,Victor Hedman,TBL,1443.5606
42,10,28,0.0,4,70,12,Hedman,2,44,8475167,24,54,0.7714200000000001,D,2,25,20182019,0,1,0.06593,L,182,Victor Hedman,TBL,1366.2285
40,7,32,,1,76,9,Hedman,0,42,8475167,10,49,0.64473,D,1,14,20222023,1,3,0.04864,L,185,Victor Hedman,TBL,1423.1447
36,8,21,,2,54,9,Hedman,2,28,8475167,5,45,0.83333,D,1,24,20202021,0,0,0.06617,L,136,Victor Hedman,TBL,1502.7037
61,22,64,0.5368700000000001,5,82,35,Barkov,2,8,8477493,-3,96,1.17073,C,13,31,20182019,0,1,0.16990000000000002,L,206,Aleksander Barkov,FLA,1341.2317
49,23,57,0.5694800000000001,5,67,39,Barkov,2,18,8477493,36,88,1.31343,C,12,26,20212022,4,5,0.18224,L,214,Aleksander Barkov,FLA,1218.194
55,14,46,0.54879,6,68,23,Barkov,0,8,8477493,10,78,1.1470500000000001,C,8,30,20222023,1,2,0.11057000000000002,L,208,Aleksander Barkov,FLA,1273.4558
42,13,41,0.5428000000000001,2,66,20,Barkov,0,18,8477493,2,62,0.9393900000000001,C,7,20,20192020,0,1,0.11627000000000001,L,172,Aleksander Barkov,FLA,1200.909
32,18,38,0.54873,6,50,26,Barkov,2,14,8477493,12,58,1.16,C,7,19,20202021,1,1,0.14772000000000002,L,176,Aleksander Barkov,FLA,1256.24
30,20,41,0.43333000000000005,3,69,26,Boeser,1,22,8478444,-2,56,0.81159,R,6,15,20182019,0,0,0.12440000000000001,R,209,Brock Boeser,VAN,1149.826
37,12,39,0.38596,3,74,18,Boeser,0,24,8478444,-20,55,0.74324,R,6,16,20222023,0,0,0.10112,R,178,Brock Boeser,VAN,1034.4864
26,14,34,0.36363,1,56,23,Boeser,0,16,8478444,-3,49,0.8750000000000001,R,8,14,20202021,1,1,0.16312000000000001,R,141,Brock Boeser,VAN,1159.1785
23,12,28,0.50943,6,71,23,Boeser,1,20,8478444,-5,46,0.64788,R,11,17,20212022,0,1,0.11794,R,195,Brock Boeser,VAN,1115.9436
29,11,31,0.36666000000000004,3,57,16,Boeser,0,14,8478444,4,45,0.7894700000000001,R,5,14,20192020,0,0,0.09467,R,169,Brock Boeser,VAN,1114.3157
44,15,44,0.41551000000000005,3,82,18,Barzal,1,46,8478445,-5,62,0.75609,C,3,18,20182019,0,0,0.10055000000000001,R,179,Mathew Barzal,NYI,1075.378
41,15,48,0.41605000000000003,2,68,19,Barzal,0,44,8478445,5,60,0.8823500000000001,C,4,12,20192020,0,0,0.11111000000000001,R,171,Mathew Barzal,NYI,1202.5735
44,14,39,0.46336000000000005,1,73,15,Barzal,0,18,8478445,-15,59,0.8082100000000001,C,1,20,20212022,0,0,0.09316,R,161,Mathew Barzal,NYI,1081.178
37,10,32,0.35616000000000003,5,58,14,Barzal,1,22,8478445,5,51,0.87931,C,4,19,20222023,0,0,0.10071000000000001,R,139,Mathew Barzal,NYI,1122.9655
28,16,37,0.43428000000000005,1,55,17,Barzal,0,48,8478445,15,45,0.81818,C,1,8,20202021,0,0,0.12686,R,134,Mathew Barzal,NYI,1123.4
69,17,58,0.0,4,80,30,Marner,2,28,8478483,18,99,1.2375,R,9,36,20222023,4,5,0.15306,R,196,Mitchell Marner,TOR,1276.575
62,26,68,0.5555500000000001,5,72,35,Marner,1,16,8478483,23,97,1.34722,R,6,25,20212022,3,4,0.15625,R,224,Mitchell Marner,TOR,1252.9722
68,22,70,0.63636,5,82,26,Marner,0,22,8478483,22,94,1.14634,R,3,21,20182019,1,3,0.11158000000000001,R,233,Mitchell Marner,TOR,1189.3414
51,10,42,0.26923,2,59,16,Marner,1,16,8478483,6,67,1.13559,R,6,24,20192020,0,1,0.10389000000000001,R,154,Mitchell Marner,TOR,1293.2372
47,20,51,0.8,5,55,20,Marner,0,20,8478483,21,67,1.21818,R,0,14,20202021,0,2,0.1282,R,156,Mitchell Marner,TOR,1345.6181
64,26,70,0.51029,11,81,42,Stamkos,3,36,8474564,24,106,1.30864,C,16,36,20212022,0,0,0.17427,R,241,Steven Stamkos,TBL,1108.9876
53,24,56,0.53095,6,82,45,Stamkos,0,37,8474564,4,98,1.19512,C,19,40,20182019,2,2,0.19230000000000003,R,234,Steven Stamkos,TBL,1098.0121
50,20,49,0.53813,6,81,34,Stamkos,2,46,8474564,-5,84,1.03703,C,14,35,20222023,0,0,0.14166,R,240,Steven Stamkos,TBL,1141.2469
37,19,47,0.54315,6,57,29,Stamkos,0,22,8474564,14,66,1.15789,C,10,19,20192020,0,0,0.16477,R,176,Steven Stamkos,TBL,1105.2105
17,7,18,0.57211,1,38,17,Stamkos,0,16,8474564,4,34,0.89473,C,10,15,20202021,0,1,0.18681,R,91,Steven Stamkos,TBL,1096.0526
